logged_at,source_csv,table,line_number,job_id,primary_key,primary_id,reason,raw_row_json
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16337,1574622,Placement ID,514977,job_id not in jobs.jobs,"{""Job ID"": ""1574622"", ""Placement ID"": ""514977"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/3/25 11:44"", ""Company ID"": ""327329""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16338,1529468,Placement ID,499271,job_id not in jobs.jobs,"{""Job ID"": ""1529468"", ""Placement ID"": ""499271"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""2/1/24 9:15"", ""Company ID"": ""327348""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16339,1481425,Placement ID,484329,job_id not in jobs.jobs,"{""Job ID"": ""1481425"", ""Placement ID"": ""484329"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""2/21/23 10:49"", ""Company ID"": ""327348""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16340,1560231,Placement ID,510675,job_id not in jobs.jobs,"{""Job ID"": ""1560231"", ""Placement ID"": ""510675"", ""Placement Type"": ""Net New"", ""Date Added"": ""12/3/24 10:15"", ""Company ID"": ""327348""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16341,1490852,Placement ID,486086,job_id not in jobs.jobs,"{""Job ID"": ""1490852"", ""Placement ID"": ""486086"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""3/28/23 11:04"", ""Company ID"": ""327348""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16342,1481425,Placement ID,484335,job_id not in jobs.jobs,"{""Job ID"": ""1481425"", ""Placement ID"": ""484335"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""2/21/23 11:44"", ""Company ID"": ""327348""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16343,1529797,Placement ID,499941,job_id not in jobs.jobs,"{""Job ID"": ""1529797"", ""Placement ID"": ""499941"", ""Placement Type"": ""Net New"", ""Date Added"": ""2/20/24 9:31"", ""Company ID"": ""327479""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16344,1509944,Placement ID,493164,job_id not in jobs.jobs,"{""Job ID"": ""1509944"", ""Placement ID"": ""493164"", ""Placement Type"": ""Payroll"", ""Date Added"": ""8/22/23 15:54"", ""Company ID"": ""327588""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16345,1490463,Placement ID,485763,job_id not in jobs.jobs,"{""Job ID"": ""1490463"", ""Placement ID"": ""485763"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""3/22/23 9:43"", ""Company ID"": ""327588""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16346,1531802,Placement ID,501561,job_id not in jobs.jobs,"{""Job ID"": ""1531802"", ""Placement ID"": ""501561"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""3/22/24 11:48"", ""Company ID"": ""327588""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16347,1527977,Placement ID,500069,job_id not in jobs.jobs,"{""Job ID"": ""1527977"", ""Placement ID"": ""500069"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""2/22/24 13:49"", ""Company ID"": ""327588""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16348,1527973,Placement ID,501065,job_id not in jobs.jobs,"{""Job ID"": ""1527973"", ""Placement ID"": ""501065"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""3/8/24 16:01"", ""Company ID"": ""327588""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16349,1490856,Placement ID,485793,job_id not in jobs.jobs,"{""Job ID"": ""1490856"", ""Placement ID"": ""485793"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/22/23 13:08"", ""Company ID"": ""328105""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16350,1481818,Placement ID,485414,job_id not in jobs.jobs,"{""Job ID"": ""1481818"", ""Placement ID"": ""485414"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/15/23 10:22"", ""Company ID"": ""328105""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16351,1554149,Placement ID,509077,job_id not in jobs.jobs,"{""Job ID"": ""1554149"", ""Placement ID"": ""509077"", ""Placement Type"": ""Net New"", ""Date Added"": ""10/9/24 16:14"", ""Company ID"": ""328105""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16352,1516237,Placement ID,497170,job_id not in jobs.jobs,"{""Job ID"": ""1516237"", ""Placement ID"": ""497170"", ""Placement Type"": ""Net New"", ""Date Added"": ""12/13/23 14:27"", ""Company ID"": ""328539""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16353,1534266,Placement ID,501362,job_id not in jobs.jobs,"{""Job ID"": ""1534266"", ""Placement ID"": ""501362"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/18/24 12:16"", ""Company ID"": ""328765""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16354,1534268,Placement ID,501277,job_id not in jobs.jobs,"{""Job ID"": ""1534268"", ""Placement ID"": ""501277"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/14/24 15:34"", ""Company ID"": ""328765""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16355,1534268,Placement ID,501343,job_id not in jobs.jobs,"{""Job ID"": ""1534268"", ""Placement ID"": ""501343"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/18/24 8:38"", ""Company ID"": ""328765""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16356,1534268,Placement ID,501264,job_id not in jobs.jobs,"{""Job ID"": ""1534268"", ""Placement ID"": ""501264"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/14/24 12:04"", ""Company ID"": ""328765""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16357,1534268,Placement ID,501274,job_id not in jobs.jobs,"{""Job ID"": ""1534268"", ""Placement ID"": ""501274"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/14/24 15:17"", ""Company ID"": ""328765""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16358,1562762,Placement ID,510922,job_id not in jobs.jobs,"{""Job ID"": ""1562762"", ""Placement ID"": ""510922"", ""Placement Type"": ""Net New"", ""Date Added"": ""12/11/24 14:34"", ""Company ID"": ""328765""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16372,1562967,Placement ID,511063,job_id not in jobs.jobs,"{""Job ID"": ""1562967"", ""Placement ID"": ""511063"", ""Placement Type"": ""Net New"", ""Date Added"": ""12/13/24 19:19"", ""Company ID"": ""328889""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16373,1362419,Placement ID,496819,job_id not in jobs.jobs,"{""Job ID"": ""1362419"", ""Placement ID"": ""496819"", ""Placement Type"": ""Net New"", ""Date Added"": ""11/30/23 18:34"", ""Company ID"": ""328897""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16374,1480937,Placement ID,482635,job_id not in jobs.jobs,"{""Job ID"": ""1480937"", ""Placement ID"": ""482635"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""1/18/23 9:30"", ""Company ID"": ""329014""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16375,1500873,Placement ID,490954,job_id not in jobs.jobs,"{""Job ID"": ""1500873"", ""Placement ID"": ""490954"", ""Placement Type"": ""Net New"", ""Date Added"": ""6/29/23 11:07"", ""Company ID"": ""329014""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16376,1541328,Placement ID,503531,job_id not in jobs.jobs,"{""Job ID"": ""1541328"", ""Placement ID"": ""503531"", ""Placement Type"": ""Backfill/Replacement"", ""Date Added"": ""5/14/24 15:32"", ""Company ID"": ""329014""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16377,1537073,Placement ID,502004,job_id not in jobs.jobs,"{""Job ID"": ""1537073"", ""Placement ID"": ""502004"", ""Placement Type"": ""Redeploy"", ""Date Added"": ""4/3/24 22:48"", ""Company ID"": ""329014""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16378,1529359,Placement ID,499286,job_id not in jobs.jobs,"{""Job ID"": ""1529359"", ""Placement ID"": ""499286"", ""Placement Type"": ""Net New"", ""Date Added"": ""2/1/24 11:02"", ""Company ID"": ""329014""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16379,1500873,Placement ID,490959,job_id not in jobs.jobs,"{""Job ID"": ""1500873"", ""Placement ID"": ""490959"", ""Placement Type"": ""Net New"", ""Date Added"": ""6/29/23 11:56"", ""Company ID"": ""329014""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16380,1536538,Placement ID,502066,job_id not in jobs.jobs,"{""Job ID"": ""1536538"", ""Placement ID"": ""502066"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/4/24 15:22"", ""Company ID"": ""329337""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16381,1554784,Placement ID,508799,job_id not in jobs.jobs,"{""Job ID"": ""1554784"", ""Placement ID"": ""508799"", ""Placement Type"": ""Net New"", ""Date Added"": ""10/1/24 9:36"", ""Company ID"": ""329550""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16384,1534640,Placement ID,501353,job_id not in jobs.jobs,"{""Job ID"": ""1534640"", ""Placement ID"": ""501353"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/18/24 10:59"", ""Company ID"": ""329550""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16390,1504936,Placement ID,491364,job_id not in jobs.jobs,"{""Job ID"": ""1504936"", ""Placement ID"": ""491364"", ""Placement Type"": ""Net New"", ""Date Added"": ""7/12/23 9:18"", ""Company ID"": ""329550""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16394,1487778,Placement ID,485512,job_id not in jobs.jobs,"{""Job ID"": ""1487778"", ""Placement ID"": ""485512"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/16/23 14:16"", ""Company ID"": ""329550""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16397,1475962,Placement ID,484025,job_id not in jobs.jobs,"{""Job ID"": ""1475962"", ""Placement ID"": ""484025"", ""Placement Type"": ""Net New"", ""Date Added"": ""2/15/23 12:21"", ""Company ID"": ""329550""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16398,1487778,Placement ID,484813,job_id not in jobs.jobs,"{""Job ID"": ""1487778"", ""Placement ID"": ""484813"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/3/23 10:00"", ""Company ID"": ""329550""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16399,1600998,Placement ID,524169,job_id not in jobs.jobs,"{""Job ID"": ""1600998"", ""Placement ID"": ""524169"", ""Placement Type"": ""Net New"", ""Date Added"": ""11/12/25 11:27"", ""Company ID"": ""329550""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16400,1481571,Placement ID,485069,job_id not in jobs.jobs,"{""Job ID"": ""1481571"", ""Placement ID"": ""485069"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/9/23 9:04"", ""Company ID"": ""329703""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16401,1488679,Placement ID,485234,job_id not in jobs.jobs,"{""Job ID"": ""1488679"", ""Placement ID"": ""485234"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/10/23 16:55"", ""Company ID"": ""329703""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16402,1498000,Placement ID,490202,job_id not in jobs.jobs,"{""Job ID"": ""1498000"", ""Placement ID"": ""490202"", ""Placement Type"": ""Net New"", ""Date Added"": ""6/13/23 15:15"", ""Company ID"": ""329703""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16403,1520092,Placement ID,497975,job_id not in jobs.jobs,"{""Job ID"": ""1520092"", ""Placement ID"": ""497975"", ""Placement Type"": ""Net New"", ""Date Added"": ""12/21/23 16:19"", ""Company ID"": ""329703""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16404,1516925,Placement ID,496031,job_id not in jobs.jobs,"{""Job ID"": ""1516925"", ""Placement ID"": ""496031"", ""Placement Type"": ""Net New"", ""Date Added"": ""10/31/23 17:22"", ""Company ID"": ""329703""}"
